"Volume","Image","Fanta_page","Comic_page","Panel","Story","Error_type","Change_From","Change_To"
"1","","","","","WDCS  34","censorship","[entire story deleted]","[story restored]"
"1","116","109","1","5","WDCS  36","error","[yellow cap]","[green cap]"
"1","145","138","18","6","The Mummy’s Ring","censorship","[black makeup lines removed]","[black makeup lines restored]"
"2","011","5","5","5","Frozen Gold","censorship","“sick villagers”","""sick eskimos”"
"2","015","9","9","1","Frozen Gold","error","[dot glitch]","[glitch removed]"
"2","022","16","16","5","Frozen Gold","censorship","“A building”","""An eskimo house”"
"2","022","16","16","6","Frozen Gold","censorship","“Hey, inside”","""Hey, eski’"
"2","022","16","16","7","Frozen Gold","censorship","“No answer, huh?”","""The eskimo doesn’t answer!” "
"2","023","17","17","1","Frozen Gold","censorship","“Odd fella”","""Queer guy”"
"2","023","17","17","1","Frozen Gold","censorship","“used to visitors”","""used to white men”"
"2","023","17","17","6","Frozen Gold","censorship","“Alaskan dog”","""eskimo dog”"
"2","030","24","24","3","Frozen Gold","censorship","“to the village”","""to the eskimos”"
"2","030","24","24","7","Frozen Gold","censorship","“sick villagers”","""sick eskimos”"
"2","103","97","7","2","WDCS  41","error","[top right corner glitch]","[glitch fixed]"
"2","107","101","1","6","WDCS  42","error","[bottom right corner glitch]","[glitch fixed]"
"2","158","152","2","5","WDCS  47","error","[two green caps]","[cap colour fixed]"
"2","176","170","10","4","WDCS  48","error","[two blue caps]","[cap colour fixed]"
"3","","","","","Silent Night","censorship","[entire story deleted]","[story restored]"
"3","070","61","7","4","WDCS  56","censorship","“It’s an ambush”","“It’s a Jap ambush”"
"3","070","61","7","5","WDCS  56","censorship","“little runts!”","“little slant-eyed nips!”"
"3","070","61","7","6","WDCS  56","censorship","“home”","“to Japan”"
"3","113","104","4","3","WDCS  61","error","['A' in away]","[glitch fixed]"
"3","113","104","4","3","WDCS  61","error","['G' in laughing]","[glitch fixed]"
"3","171","162","6","4","WDCS  66","error","[fishtail water glitch]","[glitch fixed]"
"3","208","199","13","1","The Firebug","censorship","[Blum-Jippe ending]","[GLK ending]"
"4","045","39","1","1","The Terror of the River!!","error","[all panels trimmed]","[all panels expanded]"
"4","088","82","6","2","WDCS  70","error","[Louie cap wrong]","[cap colour fixed]"
"4","088","82","6","3","WDCS  70","error","[Louie cap wrong]","[cap colour fixed]"
"4","088","82","6","7","WDCS  70","error","[Louie cap wrong]","[cap colour fixed]"
"4","101","95","1","6","WDCS  71","censorship","[butch’s cigarette missing]","[cigarette restored]"
"4","101","95","1","8","WDCS  71","censorship","[butch’s cigarette missing]","[cigarette restored]"
