"Donald Duck Finds Pirate Gold","T","Four Color",9,1942,10,1942,5,-1
"The Victory Garden","M","Comics and Stories",31,1943,4,1942,12,-1
"The Rabbit's Foot","M","Comics and Stories",32,1943,5,1942,12,23
"Lifeguard Daze","M","Comics and Stories",33,1943,6,1943,1,29
"Good Deeds","M","Comics and Stories",34,1943,7,1943,2,24
"The Limber W. Guest Ranch","M","Comics and Stories",35,1943,8,1943,3,17
"The Mighty Trapper","T","Comics and Stories",36,1943,9,1943,4,20
"Donald Duck and the Mummy's Ring","T","Four Color",29,1943,9,1943,5,10
"The Hard Loser","T","Four Color",29,1943,9,1943,5,10
"Too Many Pets","T","Four Color",29,1943,9,1943,5,29
"Good Neighbors","T","Comics and Stories",38,1943,11,1943,6,22
"Salesman Donald","T","Comics and Stories",39,1943,12,1943,7,23
"Snow Fun","T","Comics and Stories",40,1944,1,1943,8,28
"The Duck in the Iron Pants","T","Comics and Stories",41,1944,2,1943,9,22
"Kite Weather","T","Comics and Stories",42,1944,3,1943,10,20
"Three Dirty Little Ducks","T","Comics and Stories",43,1944,4,1943,11,27
"The Mad Chemist","T","Comics and Stories",44,1944,5,1943,12,30
"Rival Boatmen","T","Comics and Stories",45,1944,6,1944,1,19
"Camera Crazy","T","Comics and Stories",46,1944,7,1944,2,29
"Farragut the Falcon","M","Comics and Stories",47,1944,8,1944,4,1
"The Purloined Putty","M","Comics and Stories",48,1944,9,1944,4,26
"High-wire Daredevils","M","Comics and Stories",49,1944,10,1944,5,26
"Ten Cents' Worth of Trouble","M","Comics and Stories",50,1944,11,1944,6,22
"Donald's Bay Lot","M","Comics and Stories",51,1944,12,1944,7,27
"Frozen Gold","T","Four Color",62,1945,1,1944,8,9
"Thievery Afoot","M","Comics and Stories",52,1945,1,1944,8,26
"Mystery of the Swamp","T","Four Color",62,1945,1,1944,9,23
"The Tramp Steamer","M","Comics and Stories",53,1945,2,1944,10,6
"The Long Race to Pumpkinburg","M","Comics and Stories",54,1945,3,1944,10,27
"Webfooted Wrangler","M","Comics and Stories",55,1945,4,1944,12,1
"The Icebox Robber","M","Comics and Stories",56,1945,5,1945,1,-1
"Pecking Order","M","Comics and Stories",57,1945,6,1945,2,2
"Taming the Rapids","M","Comics and Stories",58,1945,7,1945,3,9
"Eyes in the Dark","M","Comics and Stories",60,1945,9,1945,3,12
"Days at the Lazy K","M",Comics and Stories,59,1945,8,1945,4,3
"The Riddle of the Red Hat","T","Four Color",79,1945,8,1945,4,27
"Thug Busters","M","Comics and Stories",61,1945,10,1945,5,31
"The Great Ski Race","M","Comics and Stories",62,1945,11,1945,6,27
"The Firebug","T","Four Color",108,1946,1,1945,7,19
"Ten-Dollar Dither","M","Comics and Stories",63,1945,12,1945,8,2
"Donald Duck's Best Christmas","T","Firestone Giveaway",45,1945,12,1945,8,31
"Silent Night","M","Comics and Stories",64,1946,1,1945,8,31
"Donald Tames His Temper","M","Comics and Stories",64,1946,1,1945,9,19
"Singapore Joe","M","Comics and Stories",65,1946,2,1945,10,4
"Master Ice Fisher","M","Comics and Stories",66,1946,3,1945,10,27
"Jet Rescue","M","Comics and Stories",67,1946,4,1945,11,23
"Donald's Monster Kite","M","Comics and Stories",68,1946,5,1946,1,4
"The Terror of the River!!","T","Four Color",108,1946,1,1946,1,25
"Seals Are So Smart!","T","Four Color",108,1946,1,1946,1,25
"Biceps Blues","M","Comics and Stories",69,1946,6,1946,2,1
"The Smugsnorkle Squattie","M","Comics and Stories",70,1946,7,1946,2,28
"Santa's Stormy Visit","T","Firestone Giveaway",46,1946,12,1946,3,8
"Swimming Swindlers","M","Comics and Stories",71,1946,8,1946,3,26
"Playin' Hookey","M","Comics and Stories",72,1946,9,1946,4,25
"The Gold-Finder","M","Comics and Stories",73,1946,10,1946,5,27
"The Bill Collectors","M","Comics and Stories",74,1946,11,1946,6,14
"Turkey Raffle","M","Comics and Stories",75,1946,12,1946,7,8
"Maharajah Donald","T","Boys' and Girls' March of Comics",4,1947,-1,1946,8,13
"The Cantankerous Cat","M","Comics and Stories",76,1947,1,1946,8,29
"Donald Duck's Atom Bomb","T","Cheerios Giveaway",1,1947,-1,1946,9,9
"Going Buggy","M","Comics and Stories",77,1947,2,1946,9,25
"The Peaceful Hills","T","Boys' and Girls' March of Comics",4,1947,-1,1946,10,4
"Jam Robbers","M","Comics and Stories",78,1947,3,1946,10,28
"Picnic Tricks","M","Comics and Stories",79,1947,4,1946,11,18
"Volcano Valley","T","Four Color",147,1947,5,1946,12,9
"If the Hat Fits","M","Four Color",147,1947,5,1946,12,30
"Donald's Posy Patch","M","Comics and Stories",80,1947,5,1947,1,10
"Donald Mines His Own Business","M","Comics and Stories",81,1947,6,1947,1,28
